"No. Urut","Kode Cabang","Nama Cabang","ALAMAT","KOTA / KABUPATEN","KODE POS","PROPINSI","Region"
"1","10500","KC Medan Imam Bonjol","Jl. Imam Bonjol No. 7, Kel. Petisah Tengah. Kec. Medan Petisah","Kota Medan","20112","SUMATERA UTARA","SUMATERA 1"
"2","10601","KCP Medan Lapangan Merdeka","Jl. Balaikota No. 12-14","Kota Medan","20111","SUMATERA UTARA","SUMATERA 1"
"3","10700","KC Pematangsiantar Sudirman","Jl. Jend. Sudirman No. 14","Kota Pematangsiantar","21117","SUMATERA UTARA","SUMATERA 1"
"4","10800","Pekanbaru Sudirman Bawah","Jl. Jend. Sudirman No. 140, Kel. Suka Ramai, Kec. Pekanbaru Kota","Kota Pekanbaru","28113","RIAU","SUMATERA 1"
"5","10803","Pekanbaru Nangka","Komplek Paninsula, Jl. Tuanku Tambusai No.18, Kel. Tangkerang Barat, Kec. Marpoyan Damai","Kota Pekanbaru","28282","RIAU","SUMATERA 1"
"6","10809","Rengat","Jl. Jend. M.T. Haryono No. 11","Kab. Indragiri Hulu","29319","RIAU","SUMATERA 1"
"7","17201","KCP Dumai Syarif Kasim","Jl. Sultan Syarif Kasim No. 99","Kota Dumai","28812","RIAU","SUMATERA 1"
"8","15800","KCP Banda Aceh Daud Beureuh","Jl. Teuku H. Daud Beureuh No. 15 H","Kota Banda Aceh","23123","NANGGROE ACEH DARUSSALAM","SUMATERA 1"
"9","18302","KC Kisaran","Jl. Cokroaminoto No. 65","Kab. Asahan","21215","SUMATERA UTARA","SUMATERA 1"
"10","18301","KC Padang Sidempuan","Jl. Sudirman No. 30-32","Kota Padang Sidempuan","22718","SUMATERA UTARA","SUMATERA 1"
"11","18303","KCP Rantau Prapat M. Lubis","Jl. Letkol. Martinus Lubis 11","Kab. Labuhan Batu","21412","SUMATERA UTARA","SUMATERA 1"
"12","11002","KCP Jambi Samratulangi","Jl. Dr. Sam Ratulangi No. 20","Kota Jambi","36113","JAMBI","SUMATERA 2"
"13","11100","KCPadang Lapangan Imam Bonjol","Jl. Bagindo Aziz Chan No. 12","Kota Padang","25211","SUMATERA BARAT","SUMATERA 2"
"14","11201","KCP Palembang Atmo","Jl. Kolonel Atmo No.118","Kota Palembang","30125","SUMATERA SELATAN","SUMATERA 2"
"15","11207","KCP Palembang Pusat Dagang","Jl. T.P. Rustam Effendi No. 550","Kota Palembang","30125","SUMATERA SELATAN","SUMATERA 2"
"16","11206","KC Baturaja","Jl. Ahmad Yani No. 53, Baturaja Timur","Kab. Ogan Komering Ulu","32111","SUMATERA SELATAN","SUMATERA 2"
"17","11213","KCP Lahat","Jl. Mayor Ruslan Blok A No. 7-8","Kab. Lahat","31411","SUMATERA SELATAN","SUMATERA 2"
"18","11311","KCP Palembang Veteran","Jl. Veteran No. 1, Kel. 8 Ilir, Kec. Ilir Timur II","Kota Palembang","30114","SUMATERA SELATAN","SUMATERA 2"
"19","11405","KCP Metro","Jl. AH Nasution No. 17 Metro","Kota Metro","34111","LAMPUNG","SUMATERA 2"
"20","11407","KCP Tanjung Karang Bambu Kuning","Jl. RA Kartini No. 01, Kel. Kelapa Tiga,Kec. Tanjung Karang Pusat","Kota Bandar Lampung","35114","LAMPUNG","SUMATERA 2"
