Nama Cabang,Kode Cabang,Alamat
KCU THAMRIN,0206,"Menara BCA, Grand Indonesia, Jln. MH Thamrin No. 1 Jakarta Pusat 10310"
KCU CITY TOWER,0319,"The City Tower, Ground Floor, Jln. MH. Thamrin No. 81 Jakarta Pusat 10310"
KCU WAHID HASYIM,0028,Jln. KH. Wahid Hasyim No. 183 A-B Jakarta Pusat
KCU SURYOPRANOTO,0261,"Jln. Suryopranoto 40 Jakarta Pusat 10130 021-6331742"
KCU PANGERAN JAYAKARTA,0194,Jln. Pangeran Jayakarta No.127 Jakarta Pusat
KCU PASAR BARU,0002,Jln. KH Samanhudi 8 Jakarta Pusat 10710 021-2310411
KCU GUNSA 45,0003,"Jln. Gunung Sahari 45 Jakarta Pusat 10720 021-6012123"
KCU SUDIRMAN,0035,"Gedung Chase Plaza, Jln. Jend. Sudirman Kav. 21 Jakarta Selatan 12920"
KCU WISMA GKBI,0006,"Jln. Jend. Sudirman 28, Suite G 01 Jakarta Selatan"
KCU KUNINGAN,0217,"Gedung Menara Karya Ground Floor, Jln. HR Rasuna Said Blok X-5 Kav. 1-2"
KCU BLOK A CIPETE,0218,Jln. RS Fatmawati 6 A Jakarta Selatan 12410 021-7658605
KCU PONDOK INDAH,0291,"Wisma BCA Pondok Indah, Jln. Metro Pondok Indah Jakarta Selatan 12310"
KCU MENARA BIDAKARA,0450,"Menara Bidakara Lt. Lobby dan Lt.1, Jln. Gatot Subroto Kav.71-73 Jakarta"
KCU WISMA MILLENIA,0005,Jalan M.T. Haryono Kav. 16 Jakarta Selatan
KCU KALIMALANG,0230,Jln. Tarum Barat Blok E No. 5 Jakarta Timur 13450 021-8643295
KCU MATRAMAN,0342,Jln. Matraman Raya 14-16 Jakarta Timur 13150 021-8581259
KCU RAWAMANGUN,0094,Jln. Paus 81 Jakarta Timur
KCU MANGGA DUA RAYA,0335,Jl.Mangga Dua Raya Blok C-5 Kav. No.1 Jakarta Utara
KCU PLUIT,0168,Jln. Pluit Selatan 200 Jakarta Utara 14440 021-6601718
KCU MUARA KARANG,0069,Jln. Muara Karang Timur Blok B VIII No.116-117 Jakarta Utara 14450
KCU SUNTER MALL,0428,"Jln. Danau Sunter Utara Blok G 7 III No.1-2, Sunter Podomoro Jakarta Utara"
KCU KELAPA GADING,0065,Jln. Kelapa Gading Boulevard Raya Blok L No.1 Jakarta Utara 14240
KCU TANJUNG PRIOK,0007,Jln. Enggano 22-23 Jakarta Utara 14310 021-4301312
KCU ASEMKA,0001,Jln. Asemka 27-30 Jakarta Barat 11110 021-6901771
KCU GAJAH MADA,0012,Jln. Gajah Mada 112 B-C-D Jakarta Barat 11120 021-6302111
KCU TAMAN DUTA MAS,0277,Jln. Tubagus Angke No. 10 ABC dan 11 H Jakarta Barat
KCU WISMA ASIA,0084,"Wisma Asia, Jln. S. Parman Kav. 79 Jakarta Barat"
KCU DAAN MOGOT,0198,Jln. Daan Mogot No. 95 Jakarta Barat
KCU GREEN GARDEN,0253,Perum. Green Garden Blok A.7 No.33-34 Jakarta Barat
KCU KEDOYA PERMAI,0372,"Ruko Taman Kedoya Permai, Blok A 1A No.4-5 Jakarta Barat 11530"
KCU PURI INDAH,0288,Komp. Puri Indah Blok A/20-22 Jakarta Barat 11610 021-5802635
KCP Bintaro Utama,6030,"Bintaro Jaya Blok E Kav.3-5, Jln. Bintaro Utama Rukan Jakarta Selatan 12330,"
KCP Gedung Hijau,0498,"Jln. Gedung Hijau Raya No. 41, Pondok Indah Jakarta Selatan 12130"
KCP Iskandar Muda II,5315,"Jln. Iskandar Muda 8 EFG Jakarta Selatan 12240, 021-7225234"
KCP Pondok Indah,0237,Jln. Metro Pondok Indah UA 60 & 61 Jakarta Selatan
KCP Radio Dalam,0219,Jln. Radio Dalam Raya No. 5 B-C Jakarta Selatan
KCP Fatmawati,0071,"Jln. RS Fatmawati 1 Jakarta Selatan 12430, 021-7500199, 7503675"
KCP Cibubur,6280,"Cibubur Indah Blk BA, Jln. Lapangan Tembak Blok A/24-26 Jakarta Timur"
KCP Cyber II,6070,"Gedung Cyber 2 Ground Floor, Jl. HR. Rasuna Said Kav. X-5 No. 13 Jakarta"
KCP Gatot Subroto,0145,"Graha BIP Lt.Dasar, Jln. Gatot Subroto Kav.23 Jakarta Selatan 12930"
KCP Graha Paramita,5020,"Gdg Graha Paramita Lobby Depan, Jln. Denpasar Raya Blok D-2 Jakarta"
KCP HR Rasuna Said,5700,Jln. Rasuna Said Kav. B10-11 Jakarta Selatan
KCP Menara Imperium,0221,Jln. HR Rasuna Said Kav.01 Jakarta Selatan
KCP Menara Mulia,0255,"Gedung Menara Mulia Lt.Dasar, Jln. Gatot Subroto Kav.9-11 Jakarta Selatan"
KCP Setiabudi Atrium,7660,"Plaza Setiabudi, Gd.Setiabudi Atrium Lt.1 Suite 101 A, Jln.HR.Rasuna Said"
KCP Graha Inti Fauzi,0375,"Gd. Graha Inti Fauzi Lt. Dasar, Jln. Buncit Raya No. 22, Pejaten Jakarta"
KCP Kemang,0286,Jln. Raya Kemang No. 60 Jakarta Selatan
KCP Pasar Minggu,0128,"Jln. Raya Pasar Minggu 6 Jakarta Selatan 12740, 021-7974306"
KCP Bendungan Hilir,0301,"Jln. Bendungan Hilir 18-19 Jakarta Pusat 10210, 021-5736665"
KCP Menara Batavia,5460,"Gedung Menara Batavia Lt.Basement, Jln.KH Mansyur kav.126 Jakarta Pusat"
KCP Plaza Sentral,0441,Jln. Jend. Sudirman Kav.47 Jakarta Selatan
KCP Empat Enam,5255,"Wisma 46 Lantai Dasar, Jln. Jend. Sudirman Kav. 1 Jakarta Pusat 10220,"
KCP Menteng,7350,"Jln. HOS Cokroaminoto 83, Jakarta Pusat 10310, 021-3905401-02"
KCP Pasar Kebayoran Lama,0248,"Jln. Kebayoran Lama 174 Jakarta Selatan 12230, 021-2700436-38"
KCP Permata Hijau,0178,"Pertokoan Permata Hijau Blok D No. C27-28 dan B22 Jakarta Selatan 12210,"
KCP Sabang,0075,"Jln. H. Agus Salim 57 B Jakarta Pusat 10340, 021-31922488"
KCP Wisma Indocement,0459,"Wisma Indocement, Gd.Annex Lt. Dasar, Jl. Jend. Sudirman Kav. 1 Jakarta"
KCP Penjernihan,0111,"Jln. Penjernihan I No.23 Jakarta Pusat 10210, 021-5719050"
KCP Mayestik,0228,"Jln. Kyai Maja 77, Kebayoran Baru Jakarta Selatan"
KCP Melawai,0070,Jln. Melawai Raya 165 Blok C 1-3 Jakarta
KCP Panglima Polim Raya,5660,"Ruko Grand Panglima Polim, Jln. Panglima Polim Raya 16-17 Jakarta Selatan"
KCP Wolter Monginsidi,5240,"Jln. Wolter Monginsidi 56 Jakarta Selatan 12790, 021-7202124-25"
KCP Gondangdia Lama,0455,Jln. R.P. Soeroso No. 25 Jakarta Pusat
KCP Pasar Kenari,0068,"Jln. Kenari II/8 Jakarta Pusat 10430, 021-3900543-44, 3900763"
KCP Cempaka Putih Raya,7060,Jln. Cempaka Putih Raya 102 C-D Jakarta Pusat
KCP Bungur,0391,Jln. Bungur Besar Raya 32 & 32A Jakarta Pusat
KCP Senen,0091,"Pusat Grosir Senen Jaya Blok A8-9 Lantai 2 Jakarta Pusat 10410,"
KCP Kalimalang,0164,Jln. Inspeksi Kav. PTB Blok A 2 No. 2 C-D Jakarta Timur
KCP Klender,0412,Jln. I Gusti Ngurah Rai 8 A-B Jakarta Timur
KCP Pondok Bambu,0274,"Pondok Bambu Center Blok A/5-6, Jln. Pahlawan Revolusi 30 Jakarta Timur"
KCP Boulevard Timur,6600,"Jln. Boulevard Timur Blok NC 1 No.54-55 Jakarta Utara 14240,"
KCP Mal Kelapa Gading,6320,Jln. Boulevard Raya Blk LB1 No. 15-16 Jakarta Utara
KCP Gading Bukit Indah,7480,Jln. Bukit Gading Raya Blok D/1 Jakarta Utara
KCP Kelapa Gading Boulevard,0227,"Jln. Kelapa Gading Boulevard Blok FX No.9-10 Jakarta Utara 14240,"
KCP Pulo Gadung,0275,Jln. Raya Bekasi Km.19 No.30 B-C Jakarta Timur
KCP Graha Kirana,6380,"Gedung Graha Kirana, Jl. Yos Sudarso No. 88 Jakarta Utara 14240,"
KCP Sunter Bisma,5820,"Komp. Nirwana Sunter Blok A/31-32, Jln. Bisma Raya Asri Jakarta Utara"
KCP Sunter,0093,"Jln. Agung Utara Raya Blok A 360 D No.50-51, Sunter Agung Jakarta Utara"
KCP Grand Cempaka Mas,8770,"Ruko Mega Grosir Cempaka Mas Blok A/5-A/7, Jln.Letjen Suprapto jakarta"
KCP Prima Sunter,6590,"Ruko Prima Sunter, Jln. Danau Sunter Utara No.A2-A3 Jakarta Utara 14350,"
KCP Sunter Danau,0419,"Jln. Danau Agung 2 Blok E2 No. 1A, Sunter Podomoro Jakarta Utara 14350,"
KCP Tmn Sunter Indah,5000,Taman Sunter Indah Blok KI-1/31 Jakarta Utara
KCP Kramat Jaya,0414,"Jln. Kramat Jaya Blok F1/10 Jakarta Utara 14130, 021-4400742"
KCP Gudang Peluru,0272,"Komp. Gudang Peluru Blok A No. 23, Jln. Kampung Melayu Besar Jakarta"
KCP M.T. Haryono Cawang,7160,Jln. MT Haryono Kav. 9 Jakarta Timur
KCP Dewi Sartika,0273,Jln. Dewi Sartika 189 Jakarta Timur
KCP Kramat Jati,0165,Jln. Raya Bogor RT. 001 RW. 04 No. 19 Jakarta Timur
KCP Tebet Barat,0436,Jln. Tebet Barat IX/40 Jakarta Selatan
KCP Bandengan Utara Raya,5830,Jln. Bandengan Utara Raya 1A Jakarta Barat
KCP Cengkeh,0240,"Jln. Cengkeh 21-21A Jakarta Barat 11110, 021-6905245-48"
KCP Perniagaan Timur,5300,Jln. Perniagaan Timur 38 Jakarta Barat
KCP Telepon Kota,5320,Jln. Telepon Kota 34 Jakarta Barat
KCP Tiang Bendera,7100,Jln. Tiang Bendera 5 No.38 E Jakarta Barat
KCP Jamblang,5990,Jln. Jamblang Raya 51 Jakarta Barat
KCP Jembatan Lima,0105,"Jln. KH. Moch. Mansyur 15 F Jakarta Pusat 10140, 021-6323430"
KCP Ketapang,0401,"Komp.Ketapang Indah Blok A/3-4, Jln. KH Zainal Arifin Jakarta Barat 11140,"
KCP KHM Mansyur,0179,"Jln. KHM Mansyur 246 A & B Jakarta Barat 11250, 021-6254641"
KCP Agung Sedayu II,7460,"Komp. Agung Sedayu Blok C No.11, Jln. Mangga Dua Raya Jakarta Pusat,"
KCP Ancol,0211,"Jln. Parang Tritis Blok A VI No.3B-3C Jakarta Utara,"
KCP Gunung Sahari,0212,"Pert.Gunung Sahari Indah Blok B/11-12, Jl.Raya Gunung Sahari 13 Jakarta"
KCP Mangga Dua,0160,"Pst.Perd.Grosir Psr Pagi Lt.2 Bl.KA No.001A-B,002&012,Jl.Arteri M.D. Jakarta"
KCP Mangga Dua ITC,0480,"Gedung ITC Mangga Dua Lt.IV Blok B No.20-25, 29-32, Jln. Mangga Dua Raya"
KCP Mangga Dua Mal,6930,"Mangga Dua Mal No. RM. 49, Jln. Mangga Dua Raya Jakarta Pusat 10730,"
Pasar Pagi Mangga Dua,6360,"Gedung Pusat Perdagangan Grosir Pasar Pagi Lt.III, Ruang No.4 (Banking),"
KCP Kapuk Kamal,0313,Jln. Raya Kapuk Kamal No. 1A Blok DEF Jakarta Utara
KCP Kapuk Muara,0408,"Komp.Duta Harapan Indah, Jln. Kapuk Muara Blok K.32-33 Jakarta Utara"
KCP Muara Karang 2,6370,"Jln. Pluit Karang No. 64 Blok Z3 Selatan Kav. 32 Jakarta Utara 14450,"
KCP Muara Karang 3,4070,"Jln. Galeri Niaga Mediterania Blok X.3 Kav.No.A8.J, Pantai Indah Kapuk"
KCP Pantai Indah Kapuk,8740,"Jln. Pantai Indah Selatan I Blok DF No.1 & 2 Jakarta Utara 14460,"
KCP Teluk Mas,0481,Jln. Teluk Gong No. 9 & 9A Jakarta Utara
KCP Glodok Plaza,0082,"Pertokoan Glodok Plaza Blok E/7-8, Jln. Pinangsia Raya 1Jakarta"
KCP Jayakarta,0083,"Jln. P. Jayakarta 26 Blok A/2-3 Jakarta 10730, 021-6499960"
KCP Jembatan Merah,0241,"Jln. Mangga Besar 177 C Jakarta Barat 11180, 021-6006745,"
KCP Lindeteves,6450,"Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, Jln.Hayam Wuruk 100"
KCP Mandala,0307,Jln. Hayam Wuruk No. 110C Jakarta Barat
KCP Mangga Besar,0161,Jln. Raya Mangga Besar 15 Jakarta Barat
KCP Jembatan Dua,0074,"Jln. Jembatan Dua 82 BB-BC Jakarta Utara 14450, 021-6604438-40"
KCP Pluit Kencana,0244,Jln. Taman Pluit Kencana Selatan No. 1-3 Jakarta Utara
KCP Pluit Mega Mal,5810,Jln. Pluit Permai Raya 60 Jakarta Utara
KCP Pluit Samudra,6020,Jln. Pluit Samudra No. 9 Blok N Kav. 5 Jakarta Utara
KCP Pluit Timur,0386,Jln. Pluit Timur Blok L Barat Kav. 41-42 No.12A-14
KCP Batu Ceper,0224,"Jln. Batu Ceper Raya 18 A-B Jakarta Pusat 10210, 021-3853383"
KCP Hayam Wuruk,0350,Jln. Hayam Wuruk 54 Jakarta Barat
KCP Karang Anyar,0370,Jln. Karang Anyar Blok A1 No.14-15 Jakarta Pusat
KCP Pintu air,0106,"Jln. Pintu Air 36 Q Jakarta Pusat 10710, 021-3456366"
KCP Sawah Besar,0284,"Jln. Sukarjo Wiryopranoto 28 C Jakarta Pusat 10120, 021-2311388"
KCP Taman Sari,0285,"Jln. Taman Sari 47-47A Jakarta Barat 11150, 021-2600190"
KCP Bina Nusantara,5270,"Kamp.II Univ.Bina Nusantara,Jln.Anggrek Cakra 10 Kebon Jeruk Jakarta Barat"
KCP Cideng Barat,0397,Jln. Cideng Barat 53 Jakarta Pusat
KCP KS Tubun,5260,"Gd.Graha Indramas Lt.dasar, Jln.AIP II KS Tubun Raya No.77 Jakarta Barat"
KCP Mandala Raya,0398,"Jln. Mandala Raya 14 Jakarta Barat 11440, 021-5666756"
KCP Palmerah,0229,"Jln. Palmerah Barat 38 A Jakarta Barat 11210, 021-5481108"
KCP Tomang Raya,0310,"Jln. Tomang Raya 64 Jakarta Barat 11430, 021-5669000"
KCP Kepa Duri,0127,"Jln. Mangga Raya 20 Jakarta Barat 11510, 021-5663978"
KCP Mall Ciputra,0466,"Mal Ciputra LG II No. 24-28, Jln. Arteri S. Parman, Slipi Jakarta Barat 11470,"
KCP Taman Ratu,0162,Komp.Taman Ratu Blok B 5/8 Jakarta Barat
KCP Tanjung Duren,0076,Jln. Tanjung Duren 3 Jakarta Barat
KCP Tomang Tol,0073,Jln. Arjuna Kav. 8 A/1 Jakarta Barat
KCP Citra Garden,0399,Perum. Citra Garden I Blok I.1/4 Jakarta Barat
KCP Citra Garden II,5390,Perum. Citra Garden II Ruko Citra Niaga Blok B No. 1 & 2 Jakarta Barat
KCP Taman Kencana,5310,"Komp.Taman Kencana Blok C1/11, Jln. Kamal Raya, Cengkareng Jakarta Barat"
KCP Taman Palem Lestari,7570,"Komp. Perum Taman Palem Lestari Blok C5 No. 52 Jakarta Barat 11730,"
KCP Intercon Megah,6250,"Komp.Intercom Megah, Jln. Joglo Raya Blok W-IV No. 27 Jakarta Barat 11630,"
KCP Kebon Jeruk,0287,"Komp. Taman Kebon Jeruk, Jln. Meruya Ilir Blok B 6-9 Jakarta Barat 11630,"
KCP Wisma Relasi,0491,Jln. Panjang 333 Jakarta Barat
Kedoya Baru,0309,Ruko Tomang Tol Raya Blok A 1/21-22 Jakarta Barat
KCP Taman Permata Buana,0490,"Ruko Taman Permata Buana, Jln. Pulau Bira III Blok D1/36-37 Kembangan"
KCP Taman Semanan Indah,5490,"Perum. Taman Semanan Blok C/48, Jln.Duri Kosambi Jakarta Barat 11750,"
KCP Duta Merlin,0308,"Komp. Duta Merlin Blok A No. 24-25, Jln. Gajah Mada 3-5 Jakarta Pusat"
KCP Hasyim Ashari,0262,Jln. KH H. Ashari 5 AA Jakarta Pusat
KCP ITC Roxy Mas,5450,"ITC Roxy Mas Basement 13, Jln.KH.Hasyim Ashari 125 Jakarta Pusat,"
KCP Niaga Roxy Mas II,5330,"ITC Roxy Mas Lt. 4 Blok E No. 26-38, Jln. KH Hasyim Ashari No. 125 Jakarta"
KCP Grogol Muwardi,0268,Jln. Muwardi 1/44 Jakarta Barat
KCP Grogol Permai,0260,"Pert.Grogol Permai Blok F 3-4, Jln. Prof. Latumenten Jakarta Barat 11460,"
KCP Latumenten,0311,Jln. Prof. Dr. Latumenten 28 Jakarta Barat
KCP Taman Harapan Indah,5380,"Komp. Taman Harapan Indah Blok EE No.1, Jelambar Baru Jakarta Barat"
KCP Metro Tanah Abang,6260,Pusat Grosir Metro Tanah Abang Lt. Lower Ground Blok A No.
KCP Pasar Tanah Abang,0369,Jln. KH Fachrudin 36 Blok D/23 Jakarta Pusat
KCP Tanah Abang Blok A,8390,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081 Jakarta Pusat"
KCP Wahid,0478,Jln. KH Wahid Hasyim 82 Jakarta Pusat
