No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
1,Bandar Lampung,155,KC Kota Bumi,KC,"Jl. Jend Sudirman No. 20, Kotabumi",Lampung,Kab. Lampung Utara
2,Bandar Lampung,108,KC Curup,KC,"Jl. Merdeka No. 49, Curup",Bengkulu,Kab. Rejang Lebong
3,Bandar Lampung,318,KC Arga Makmur,KC,"Jl. Jend. Sudirman 91, Argamakmur",Bengkulu,Kab. Bengkulu Utara
4,Bandar Lampung,605,KC Tulang Bawang,KC,"Jl. Lintas Timur",Lampung,Kab. Tulang Bawang
5,Bandar Lampung,130,KC Metro,KC,"Jl. Jend. Sudirman No.50",Lampung,Kota Metro
6,Bandar Lampung,357,KC Bandar Jaya,KC,"Jl. Proklamator Raya 1, Bandar Jaya",Lampung,Kab. Lampung Tengah
7,Bandar Lampung,98,KC Tanjung Karang,KC,"Jl. Raden Intan No. 51 Tanjung Karang",Lampung,Kota Bandar Lampung
8,Bandar Lampung,115,KC Bengkulu,KC,"Jl. S. Parman No. 120",Bengkulu,Kota Bengkulu
9,Bandung,1647,KK UNPAR Bandung,KK,"Jl. Menjangan No. 2B Kel. Ciumbuleuit Kec. Cidadap",Jawa Barat,Kota Bandung
10,Bandung,5,KC Bandung AA,KC,"Jl. Asia Afrika No. 57-59",Jawa Barat,Kota Bandung
11,Bandung,354,KC Bandung A.H. Nasution,KC,"Jl. Ujung Berung No.140",Jawa Barat,Kota Bandung
12,Bandung,100,KC Tasikmalaya,KC,"Jl. R. Ikik Wiradikarta 7",Jawa Barat,Kota Tasikmalaya
13,Bandung,401,KC Bandung Kopo,KC,"Jl. Raya Kopo No. 535",Jawa Barat,Kota Bandung
14,Bandung,337,KC Bandung Naripan,KC,"Jl. Naripan No. 93",Jawa Barat,Kota Bandung
15,Bandung,355,KC Pamanukan,KC,"Jl. Marta Sasmita No. 52",Jawa Barat,Kab. Subang
16,Bandung,407,KC Bandung Sukarno Hatta,KC,"Jl. Ibrahim Adjie Ruko C,D,E,F No. 388 Bandung",Jawa Barat,Kota Bandung
17,Bandung,389,KC Bandung Martadinata,KC,"Jl. RE Martadinata No. 99",Jawa Barat,Kota Bandung
18,Bandung,133,KC Kuningan,KC,"Jl. Ahmad Yani No. 6",Jawa Barat,Kab. Kuningan
19,Bandung,137,KC Cimahi,KC,"Jl. Raya Cimahi No. 598",Jawa Barat,Kota Cimahi
20,Bandung,408,KC Bandung Setiabudi,KC,"Jl. Dr Setiabudi No. 191A",Jawa Barat,Kota Bandung
21,Bandung,92,KC Sukabumi,KC,"Jl. Jend. A. Yani No. 38",Jawa Barat,Kota Sukabumi
22,Bandung,25,KC Garut,KC,"Jl. Jend. A. Yani No. 65",Jawa Barat,Kab. Garut
23,Bandung,405,KC Bandung Dago,KC,"Jl. Ir. H Djuanda No. 144",Jawa Barat,Kota Bandung
24,Bandung,105,KC Cianjur,KC,"Jl. Adi Sucipto No. 8",Jawa Barat,Kab. Cianjur
25,Bandung,107,KC Cirebon Kartini,KC,"Jl. R.A. Kartini No. 85",Jawa Barat,Kota Cirebon
26,Bandung,165,KC Jatibarang,KC,"Jl. Siliwangi No. 3",Jawa Barat,Kab. Indramayu
27,Bandung,162,KC Banjar,KC,"Jl. Ciamis No. 1",Jawa Barat,Kota Banjar
28,Bandung,286,KC Bandung Dewi Sartika,KC,"Jl. Dewi Sartika No. 1-3",Jawa Barat,Kota Bandung
29,Banjarmasin,623,KC Banjarmasin 2,KC,"Jl. A. Yani Km 3,5 No. 151",Kalimantan Selatan,Kota Banjarmasin
30,Banjarmasin,121,KC Balikpapan,KC,"Jl. Jendral Sudirman",Kalimantan Timur,Kota Balikpapan
31,Banjarmasin,4583,UNIT SEPAKU,UNIT,"Jl. Negara RT.07",Kalimantan Timur,Kab. Penajam Paser Utara
32,Banjarmasin,282,KC Pangkalan Bun,KC,"Jl. P. Antasari No. 141, Pangkalan Bun",Kalimantan Tengah,Kab. Kotawaringin Barat
